[Beatmap]
KA;1.652;1
KA;1.652;1
KB;1.652;-1
KB;1.819;-1
KA;1.986;1
KA;1.986;1
KB;2.069;-1
KA;2.152;1
KA;2.236;1
KB;2.319;-1
KB;2.319;-1
KA;2.402;1
KB;2.486;-1
KA;2.569;1
KB;2.652;-1
KB;2.652;-1
KA;2.736;1
KB;2.819;-1
KA;2.986;1
KA;2.986;1
KB;3.152;-1
KA;3.319;1
KA;3.319;1
KB;3.402;-1
KA;3.486;1
KA;3.569;1
KB;3.652;-1
KB;3.652;-1
KA;3.736;1
KB;3.819;-1
KA;3.902;1
KB;3.986;-1
KB;3.986;-1
KA;4.069;1
KB;4.152;-1
KA;4.236;1
KB;4.319;-1
KB;4.319;-1
KA;4.486;1
KB;4.652;-1
KB;4.652;-1
KA;4.736;1
KB;4.819;-1
KB;4.902;-1
KA;4.986;1
KA;4.986;1
KB;5.069;-1
KA;5.152;1
KB;5.236;-1
KA;5.319;1
KA;5.319;1
KB;5.402;-1
KA;5.486;1
KB;5.652;-1
KB;5.652;-1
KA;5.819;1
KB;5.986;-1
KB;5.986;-1
KA;6.069;1
KB;6.152;-1
KB;6.236;-1
KA;6.319;1
KA;6.319;1
KB;6.402;-1
KA;6.486;1
KB;6.569;-1
KA;6.652;1
KA;6.652;1
KB;6.736;-1
KA;6.819;1
KB;6.902;-1
KA;6.986;1
KA;6.986;1
KB;7.152;-1
KA;7.319;1
KA;7.319;1
KB;7.402;-1
KA;7.486;1
KA;7.569;1
KB;7.652;-1
KB;7.652;-1
KA;7.736;1
KB;7.819;-1
KA;7.902;1
KB;7.986;-1
KB;7.986;-1
KA;8.069;1
KB;8.152;-1
KA;8.319;1
KA;8.319;1
KB;8.486;-1
KA;8.652;1
KA;8.652;1
KB;8.736;-1
KA;8.819;1
KA;8.902;1
KB;8.986;-1
KB;8.986;-1
KA;9.069;1
KB;9.152;-1
KA;9.236;1
KB;9.319;-1
KB;9.319;-1
KA;9.402;1
KB;9.486;-1
KA;9.569;1
KB;9.652;-1
KB;9.652;-1
KA;9.819;1
KB;9.986;-1
KB;9.986;-1
KA;10.069;1
KB;10.152;-1
KB;10.236;-1
KA;10.319;1
KA;10.319;1
KB;10.402;-1
KA;10.486;1
KB;10.569;-1
KA;10.652;1
KA;10.652;1
KB;10.736;-1
KA;10.819;1
KA;10.902;1
KA;10.986;1
KB;10.986;-1
KB;10.986;-1
KA;11.152;1
KB;11.319;-1
KA;11.402;1
KB;11.486;-1
KB;11.569;-1
KA;11.652;1
KA;11.736;1
KB;11.819;-1
KB;11.902;-1
KA;11.986;1
KB;11.986;-1
KB;12.152;-1
KA;12.319;1
KB;12.319;-1
KB;12.319;-1
KA;12.486;1
KB;12.652;-1
KB;12.652;-1
KA;12.736;1
KB;12.819;-1
KB;12.902;-1
KA;12.986;1
KA;12.986;1
KB;13.069;-1
KA;13.152;1
KB;13.236;-1
KA;13.319;1
KA;13.319;1
KB;13.402;-1
KA;13.486;1
KB;13.652;-1
KB;13.652;-1
KA;13.819;1
KB;13.986;-1
KB;13.986;-1
KA;14.069;1
KB;14.152;-1
KB;14.236;-1
KA;14.319;1
KA;14.319;1
KB;14.402;-1
KA;14.486;1
KB;14.569;-1
KA;14.652;1
KB;14.652;-1
KB;14.736;-1
KA;14.819;1
KA;14.986;1
KB;14.986;-1
KB;15.152;-1
KA;15.319;1
KA;15.319;1
KB;15.402;-1
KA;15.486;1
KA;15.569;1
KB;15.652;-1
KB;15.652;-1
KA;15.736;1
KB;15.819;-1
KA;15.902;1
KB;15.986;-1
KB;15.986;-1
KA;16.069;1
KB;16.152;-1
KA;16.319;1
KA;16.319;1
KB;16.486;-1
KA;16.652;1
KA;16.652;1
KB;16.736;-1
KA;16.819;1
KA;16.902;1
KB;16.986;-1
KB;16.986;-1
KA;17.069;1
KB;17.152;-1
KA;17.236;1
KA;17.319;1
KB;17.319;-1
KA;17.402;1
KB;17.486;-1
KB;17.486;-1
KA;17.652;1
KB;17.652;-1
KB;17.652;-1
KA;17.819;1
KB;17.986;-1
KB;17.986;-1
KA;18.069;1
KB;18.152;-1
KB;18.236;-1
KA;18.319;1
KA;18.319;1
KB;18.402;-1
KA;18.486;1
KB;18.569;-1
KA;18.652;1
KA;18.652;1
