KB;2,27;-1
KB;3,98;-1
KB;5,7;-1
KA;7,41;1
KA;7,41;1
KB;14,27;-1
KB;15,98;-1
KA;19,41;1
KB;24,55;-1
KA;27,98;1
KB;29,7;-1
KB;31,41;-1
KB;33,12;-1
KA;34,84;1
KB;38,27;-1
KB;41,7;-1
KB;45,12;-1
KA;48,55;1
KB;50,27;-1
KA;51,98;1
KB;53,7;-1
KA;57,12;1
KA;58,84;1
KB;60,55;-1
KB;62,27;-1
KB;62,27;-1
KB;69,12;-1
KB;70,84;-1
KB;74,27;-1
KB;79,41;-1
KA;82,84;1
KA;84,55;1
KB;86,27;-1
KB;87,98;-1
KA;89,7;1
KB;93,12;-1
KB;96,55;-1
KA;99,98;1
KA;103,41;1
KB;105,12;-1
KA;106,84;1
KB;108,55;-1
KA;111,98;1
KA;113,7;1
KB;113,7;-1
KB;117,12;-1
KA;117,12;1
KA;120,55;1
KB;120,55;-1
KB;123,98;-1
KB;125,7;-1
KA;129,12;1
KB;134,27;-1
KB;134,27;-1
KA;137,7;1
KB;141,12;-1
KB;141,12;-1
KA;144,55;1
KA;147,98;1
KA;151,41;1
KB;154,84;-1
KA;158,27;1
KA;159,98;1
KB;161,7;-1
KB;163,41;-1
KA;166,84;1
KA;168,55;1
KB;170,27;-1
KB;171,98;-1
KA;175,41;1
KB;178,84;-1
KA;180,55;1
KA;183,98;1
KA;189,12;1
KB;192,55;-1
KA;195,98;1
KB;199,41;-1
KA;202,84;1
KB;206,27;-1
KA;209,7;1
KA;213,12;1
KB;214,84;-1
KB;216,55;-1
KA;218,27;1
KA;226,84;1
KB;226,84;-1
KA;230,27;1
KA;231,98;1
KB;231,98;-1
KA;235,41;1
KB;238,84;-1
KB;242,27;-1
KB;245,7;-1
KB;249,12;-1
KB;250,84;-1
KA;250,84;1
KA;254,27;1
KB;254,27;-1
KB;255,98;-1
KA;255,98;1
KA;261,12;1
KB;261,12;-1
KA;262,84;1
KB;262,84;-1
KA;267,98;1
KA;267,98;1
KA;269,7;1
KA;269,7;1
KA;273,12;1
KA;276,55;1
KB;279,98;-1
KA;293,7;1
KB;297,12;-1
KB;300,55;-1
KA;303,98;1
KB;305,7;-1
KA;309,12;1
KA;312,55;1
KA;317,7;1
KB;321,12;-1
KB;324,55;-1
KB;327,98;-1
KA;331,41;1
KB;333,12;-1
KA;336,55;1
KB;339,98;-1
KB;343,41;-1
KA;348,55;1
KB;351,98;-1
KB;355,41;-1
KB;357,12;-1
KA;358,84;1
KB;360,55;-1
KA;362,27;1
KB;363,98;-1
KA;367,41;1
KB;370,84;-1
KA;374,27;1
KB;375,98;-1
KB;379,41;-1
KA;382,84;1
KA;391,41;1
KB;391,41;-1
KB;394,84;-1
KA;398,27;1
KB;401,7;-1
KA;405,12;1
KB;408,55;-1
KB;410,27;-1
KA;415,41;1
KB;415,41;-1
KA;418,84;1
KB;418,84;-1
KB;422,27;-1
KB;425,7;-1
KA;429,12;1
KA;432,55;1
KA;435,98;1
KB;439,41;-1
KA;442,84;1
KB;442,84;-1
KA;446,27;1
KB;446,27;-1
KA;449,7;1
KA;453,12;1
KB;456,55;-1
KB;459,98;-1
KB;463,41;-1
KB;466,84;-1
KA;470,27;1
KB;470,27;-1
KB;473,7;-1
KB;475,41;-1
KB;477,12;-1
KA;478,84;1
KB;480,55;-1
KB;482,27;-1
KA;485,7;1
KB;485,7;-1
KB;489,12;-1
KB;492,55;-1
KA;492,55;1
KB;495,98;-1
KB;497,7;-1
KB;497,7;-1
KA;501,12;1
KA;504,55;1
KB;506,27;-1
KB;507,98;-1
KB;511,41;-1
KB;513,12;-1
KA;514,84;1
KA;516,55;1
KA;519,98;1
KB;523,41;-1
KB;525,12;-1
KB;526,84;-1
KA;528,55;1
KB;530,27;-1
KB;531,98;-1
KB;533,7;-1
KA;535,41;1
KB;537,12;-1
KA;538,84;1
KA;540,55;1
KB;542,27;-1
KB;542,27;-1
KB;545,7;-1
KA;545,7;1
KB;549,12;-1
KA;549,12;1
KB;552,55;-1
KA;552,55;1
KA;554,27;1
KA;555,98;1
KB;559,41;-1
